LinkID,FNode,Enode,Lanes,LinkType,RoadRank,RoadType,RoadNo,RoadName,RoadUse,MultiLink,Connect,MaxSpeed,Rvehicle,RestWeight,RestHeight,Length,MedianType,PaveType,SafetyZone,Intersect,SpeedBump,Curvature,Crosswalk,RWayCross,Shoulder,PocketLane,Averheight,SigLight,SlopePer,SlopeDeg,VulService,ConService,Remark,geometry
L233012410,N233016200,N233016190,1,1,6,일반도로,,,1,0,0,30,모두통행가능,0.0,0.0,5.603,,1,0,2,0,544.474,0.0,0,0,0,0,006,0.714,0.409,1,0,,"LINESTRING Z (307543.388 4119630.598 79.44, 307542.475 4119631.748 79.48, 307542.076 4119632.25 79.498, 307540.227 4119634.612 79.481, 307539.922 4119635.001 79.48)"
L233012420,N233016200,N233016210,1,4,6,일반도로,,역골동로,1,0,0,50,모두통행가능,0.0,0.0,114.915,,1,0,0,0,218.809,1.0,0,0,0,0,007,-2.476,-1.418,1,0,,"LINESTRING Z (307543.388 4119630.598 79.44, 307543.718 4119630.903 79.421, 307545.803 4119632.883 79.368, 307548.177 4119635.272 79.344, 307550.352 4119637.62 79.304, 307552.142 4119639.561 79.276, 307553.942 4119641.532 79.241, 307555.753 4119643.455 79.202, 307557.483 4119645.429 79.157, 307559.343 4119647.604 79.149, 307561.137 4119649.791 79.112, 307562.912 4119652.023 79.059, 307564.641 4119654.267 78.997, 307566.343 4119656.536 78.937, 307568.006 4119658.838 78.877, 307569.656 4119661.184 78.818, 307571.28 4119663.538 78.741, 307572.91 4119665.909 78.652, 307574.476 4119668.258 78.567, 307576.022 4119670.674 78.475, 307577.535 4119673.089 78.393, 307579.019 4119675.507 78.317, 307580.48 4119677.951 78.232, 307581.916 4119680.433 78.135, 307583.009 4119682.393 78.067, 307584.091 4119684.352 77.997, 307585.425 4119686.887 77.918, 307586.706 4119689.409 77.84, 307587.957 4119691.959 77.751, 307589.159 4119694.527 77.665, 307590.346 4119697.111 77.577, 307591.503 4119699.732 77.489, 307592.594 4119702.341 77.406, 307593.677 4119704.977 77.331, 307594.744 4119707.62 77.257, 307595.764 4119710.269 77.176, 307596.745 4119712.958 77.097, 307597.698 4119715.655 77.016, 307598.622 4119718.354 76.933, 307599.451 4119720.94 76.83, 307600.162 4119723.041 76.759, 307601.032 4119725.611 76.674, 307601.743 4119728.064 76.595)"
L233012430,N233016220,N233017680,1,4,6,일반도로,,역골동로,1,0,0,50,모두통행가능,0.0,0.0,39.188,,1,0,0,1,957.796,1.0,0,0,0,0,007,-1.539,-0.882,1,0,,"LINESTRING Z (307537.739 4119633.021 79.522, 307536.603 4119632.006 79.534, 307533.824 4119629.704 79.56, 307531.307 4119627.66 79.543, 307529.225 4119625.943 79.509, 307527.125 4119624.314 79.466, 307524.91 4119622.531 79.426, 307522.696 4119620.776 79.379, 307519.806 4119618.534 79.308, 307517.655 4119616.832 79.249, 307515.541 4119615.186 79.189, 307513.425 4119613.546 79.127, 307511.31 4119611.903 79.064, 307509.197 4119610.251 78.994, 307507.092 4119608.603 78.919)"
L233012440,N233016810,N233016250,2,4,6,일반도로,,역골동로,1,0,0,50,모두통행가능,0.0,0.0,80.738,,1,0,0,0,9630.194,1.0,0,0,1,0,007,-6.532,-3.737,1,0,,"LINESTRING Z (307482.042 4119588.953 77.826, 307480.889 4119588.029 77.768, 307480.882 4119588.023 77.768, 307478.516 4119586.197 77.635, 307478.507 4119586.19 77.635, 307476.146 4119584.373 77.498, 307473.785 4119582.541 77.358, 307471.434 4119580.705 77.211, 307469.08 4119578.861 77.059, 307466.726 4119577.021 76.899, 307464.376 4119575.182 76.731, 307462.03 4119573.344 76.556, 307459.686 4119571.494 76.365, 307457.324 4119569.655 76.168, 307457.311 4119569.645 76.167, 307454.973 4119567.831 75.969, 307452.637 4119565.972 75.761, 307450.303 4119564.126 75.555, 307447.955 4119562.27 75.344, 307447.939 4119562.258 75.342, 307445.584 4119560.425 75.129, 307443.24 4119558.595 74.91, 307440.905 4119556.744 74.697, 307438.568 4119554.888 74.483, 307436.219 4119553.039 74.261, 307433.879 4119551.198 74.044, 307431.89 4119549.598 73.853, 307430.155 4119548.204 73.686, 307426.19 4119545.046 73.245, 307422.801 4119542.425 72.917, 307419.512 4119539.84 72.644, 307418.551 4119539.073 72.552)"
L233012450,N233016220,N233016270,1,1,6,일반도로,,,1,0,0,50,모두통행가능,0.0,0.0,5.603,,1,0,2,0,9999999.0,0.0,0,0,0,0,006,-0.785,-0.45,1,0,,"LINESTRING Z (307537.739 4119633.021 79.522, 307541.361 4119628.746 79.478)"
L233012460,N233016260,N233016160,1,4,6,일반도로,,역골중앙로41번길,1,0,0,50,모두통행가능,0.0,0.0,34.458,,1,0,0,0,1743.117,1.0,0,0,0,0,007,2.702,1.548,1,0,,"LINESTRING Z (307337.556 4119634.976 68.978, 307338.062 4119634.332 68.999, 307339.918 4119631.976 69.077, 307341.774 4119629.62 69.154, 307343.629 4119627.264 69.232, 307345.485 4119624.908 69.31, 307347.341 4119622.553 69.388, 307349.196 4119620.197 69.465, 307349.46 4119619.862 69.476, 307351.101 4119617.779 69.554, 307352.719 4119615.716 69.634, 307354.334 4119613.65 69.714, 307355.429 4119612.198 69.765, 307355.915 4119611.554 69.787, 307358.743 4119607.801 69.909)"
L233012470,N233016260,N233016230,3,1,6,일반도로,,,1,0,0,30,모두통행가능,0.0,0.0,5.593,,1,1,2,0,87.784,0.0,0,0,0,0,002,2.163,1.239,1,0,,"LINESTRING Z (307337.556 4119634.976 68.978, 307338.091 4119635.161 68.796, 307338.504 4119635.304 68.824, 307341.237 4119636.528 69.003, 307342.693 4119637.181 69.099)"
L233012480,N233016190,N233016220,2,1,6,일반도로,,,1,0,0,50,모두통행가능,0.0,0.0,2.947,,1,0,2,0,225.403,0.0,0,0,0,0,006,1.425,0.816,1,0,,"LINESTRING Z (307539.922 4119635.001 79.48, 307538.451 4119633.658 79.514, 307537.739 4119633.021 79.522)"
L233012490,N233016190,N233016180,1,4,6,일반도로,,역골중앙로,1,0,0,30,모두통행가능,0.0,0.0,8.506,,1,3,0,0,122.125,1.0,0,0,0,0,007,-1.27,-0.727,1,0,생활보호구역,"LINESTRING Z (307539.922 4119635.001 79.48, 307539.835 4119635.112 79.478, 307537.993 4119637.478 79.418, 307537.579 4119638.01 79.405, 307535.665 4119640.321 79.383, 307534.56 4119641.603 79.372)"
L233012500,N233016230,N233015360,2,1,6,일반도로,,,1,0,0,30,모두통행가능,0.0,0.0,6.569,,1,1,2,0,9999999.0,0.0,0,0,0,0,002,-1.888,-1.081,1,0,,"LINESTRING Z (307342.693 4119637.181 69.099, 307338.864 4119642.519 68.975)"
